date,event,member_name,member_role,gov_date_from,gov_date_to,gov_name
1989-07-02,διορισμος,τζαννη τζαννετακη,πρωθυπουργου,1989-07-02,1989-10-12,τζαννετακη τζαννη
1989-07-02,διορισμος,αθανασιου κανελλοπουλου,υπουργου προεδριας της κυβερνησης,1989-07-02,1989-10-12,τζαννετακη τζαννη
1989-07-02,διορισμος,ιωαννη βαρβιτσιωτη,υπουργου εθνικης αμυνας,1989-07-02,1989-10-12,τζαννετακη τζαννη
1989-07-02,διορισμος,τζαννη τζαννετακη,υπουργου εξωτερικων,1989-07-02,1989-10-12,τζαννετακη τζαννη
1989-07-02,διορισμος,νικολαου κωνσταντοπουλου,υπουργου εσωτερικων,1989-07-02,1989-10-12,τζαννετακη τζαννη
1989-07-02,διορισμος,γεωργιου σουφλια,υπουργου εθνικης οικονομιας,1989-07-02,1989-10-12,τζαννετακη τζαννη
1989-07-02,διορισμος,αντωνιου σαμαρα,υπουργου οικονομικων,1989-07-02,1989-10-12,τζαννετακη τζαννη
1989-07-02,διορισμος,σταυρου δημα,υπουργου γεωργιας,1989-07-02,1989-10-12,τζαννετακη τζαννη
1989-07-02,διορισμος,σωτηριου χατζηγακη,υπουργου εργασιας και αναπληρωτη υπουργου εθνικης οικονομιας,1989-07-02,1989-10-12,τζαννετακη τζαννη
1989-07-02,διορισμος,μιλτιαδη εβερτ,"υπουργου υγειας, προνοιας και κοινωνικων ασφαλισεων",1989-07-02,1989-10-12,τζαννετακη τζαννη
1989-07-02,διορισμος,φωτη κουβελη,υπουργου δικαιοσυνης,1989-07-02,1989-10-12,τζαννετακη τζαννη
1989-07-02,διορισμος,βασιλειου κοντογιαννοπουλου,υπουργου εθνικης παιδειας και θρησκευματων,1989-07-02,1989-10-12,τζαννετακη τζαννη
1989-07-02,διορισμος,αννας ψαρουδα-μπενακη,υπουργου πολιτισμου & αναπληρωτη υπουργου εθνικης παιδειας και θρησκευματων,1989-07-02,1989-10-12,τζαννετακη τζαννη
1989-07-02,διορισμος,ιωαννη κεφαλογιαννη,υπουργου δημοσιας ταξης,1989-07-02,1989-10-12,τζαννετακη τζαννη
1989-07-02,διορισμος,παναγιωτου χατζηνικολαου,υπουργου μακεδονιας-θρακης,1989-07-02,1989-10-12,τζαννετακη τζαννη
1989-07-02,διορισμος,εμμανουηλ κεφαλογιαννη,υπουργου αιγαιου και υπουργου χωρις χαρτο-φυλακιο,1989-07-02,1989-10-12,τζαννετακη τζαννη
1989-07-02,διορισμος,σωτηριου κουβελα,"υπουργου περιβαλλοντος, χωροταξιας και δημοσιων εργων",1989-07-02,1989-10-12,τζαννετακη τζαννη
1989-07-02,διορισμος,μιχαηλ παπακωνσταντινου,"υπουργου βιομηχανιας, ενεργειας και τεχνολογιας",1989-07-02,1989-10-12,τζαννετακη τζαννη
1989-07-02,διορισμος,ανδρεα ανδριανοπουλου,υπουργου εμποριου,1989-07-02,1989-10-12,τζαννετακη τζαννη
1989-07-02,διορισμος,νικολαου γκελεσταθη,υπουργου μεταφορων και επικοινωνιων,1989-07-02,1989-10-12,τζαννετακη τζαννη
1989-07-02,διορισμος,αριστοτελη παυλιδη,υπουργου εμπορικης ναυτιλιας,1989-07-02,1989-10-12,τζαννετακη τζαννη
