member_name,member_start_date,member_end_date,political_party,administrative_region
αγαθοπουλου δημητριου ειρηνη-ελενη,2012-05-06,2012-05-19,συνασπισμος ριζοσπαστικης αριστερας,κιλκις
αγαθοπουλου δημητριου ειρηνη-ελενη,2012-06-17,2014-12-31,συνασπισμος ριζοσπαστικης αριστερας,κιλκις
αγαθοπουλου δημητριου ειρηνη-ελενη,2019-07-07,2023-04-22,συνασπισμος ριζοσπαστικης αριστερας,κιλκις
λυκουρεζος παυσανια αλεξανδρος-λεων,2000-04-09,2003-07-03,νεα δημοκρατια,α' αθηνων
λυκουρεντζος θεοφανη ανδρεας,2004-03-07,2007-08-18,νεα δημοκρατια,αρκαδιας
λυκουρεντζος θεοφανη ανδρεας,2007-09-16,2009-09-07,νεα δημοκρατια,αρκαδιας
λυκουρεντζος θεοφανη ανδρεας,2009-10-04,2012-04-11,νεα δημοκρατια,αρκαδιας
λυκουρεντζος θεοφανη ανδρεας,2012-05-06,2012-05-19,νεα δημοκρατια,αρκαδιας
λυκουρεντζος θεοφανη ανδρεας,2012-06-17,2014-12-31,νεα δημοκρατια,αρκαδιας
λυμπερακη γεωργιου αντιγονη,2015-01-25,2015-08-28,το ποταμι,β' αθηνων
λυμπερακη γεωργιου αντιγονη,2019-05-07,2019-06-11,το ποταμι,β' αθηνων
λυμπερακη γεωργιου αντιγονη,2019-04-11,2019-05-06,ανεξαρτητοι (εκτος κομματος),β' αθηνων
λυμπερακιδης γρηγοριου λεωνιδας,1993-10-10,1996-08-24,νεα δημοκρατια,εβρου
λυμπερακιδης γρηγοριου λεωνιδας,1996-09-22,2000-03-14,νεα δημοκρατια,εβρου
λυμπερακιδης γρηγοριου λεωνιδας,2000-04-09,2004-02-11,νεα δημοκρατια,εβρου
λυτριβη δημητριου ιωαννα,2023-05-21,2023-05-29,νεα δημοκρατια,επικρατειας
λωρας λεωνιδα ανεστης,1989-06-18,1989-10-12,νεα δημοκρατια,ιωαννινων
λωρας λεωνιδα ανεστης,1989-11-05,1990-03-12,νεα δημοκρατια,ιωαννινων
λωτιδης κυριακου λαζαρος,1989-06-18,1989-10-12,πανελληνιο σοσιαλιστικο κινημα,κοζανης
λωτιδης κυριακου λαζαρος,1989-11-05,1990-03-12,πανελληνιο σοσιαλιστικο κινημα,κοζανης
λωτιδης κυριακου λαζαρος,1990-04-08,1993-09-11,πανελληνιο σοσιαλιστικο κινημα,κοζανης
λωτιδης κυριακου λαζαρος,1993-10-10,1996-08-24,πανελληνιο σοσιαλιστικο κινημα,κοζανης
λωτιδης κυριακου λαζαρος,1996-09-22,2000-03-14,πανελληνιο σοσιαλιστικο κινημα,κοζανης
λωτιδης κυριακου λαζαρος,2000-04-09,2004-02-11,πανελληνιο σοσιαλιστικο κινημα,κοζανης
λωτιδης κυριακου λαζαρος,2004-03-07,2007-08-18,πανελληνιο σοσιαλιστικο κινημα,κοζανης
μαγγινας νικολαου βασιλειος,1993-10-10,1996-08-24,νεα δημοκρατια,αιτωλοακαρνανιας
μαγγινας νικολαου βασιλειος,1996-09-22,2000-03-14,νεα δημοκρατια,αιτωλοακαρνανιας
μαγγινας νικολαου βασιλειος,2004-03-07,2007-08-18,νεα δημοκρατια,αιτωλοακαρνανιας
μαγγινας νικολαου βασιλειος,2007-09-16,2009-09-07,νεα δημοκρατια,αιτωλοακαρνανιας
μαγκακης αντωνιου γεωργιος-αλεξανδρος,1989-01-01,1989-06-02,πανελληνιο σοσιαλιστικο κινημα,β' αθηνων
μαγκακης αντωνιου γεωργιος-αλεξανδρος,1989-11-05,1990-03-12,πανελληνιο σοσιαλιστικο κινημα,β' αθηνων
μαγκακης αντωνιου γεωργιος-αλεξανδρος,1990-04-08,1993-09-11,πανελληνιο σοσιαλιστικο κινημα,β' αθηνων
μαγκακης αντωνιου γεωργιος-αλεξανδρος,1993-10-10,1996-08-24,πανελληνιο σοσιαλιστικο κινημα,β' αθηνων
ανουσακη ευαγγελου ελενη-ηλεκτρα,1989-11-05,1990-03-12,πανελληνιο σοσιαλιστικο κινημα,α' αθηνων
ανουσακη ευαγγελου ελενη-ηλεκτρα,1993-10-10,1996-08-24,πανελληνιο σοσιαλιστικο κινημα,α' αθηνων
ανουσακη ευαγγελου ελενη-ηλεκτρα,1996-09-22,2000-03-14,πανελληνιο σοσιαλιστικο κινημα,α' αθηνων
ανουσακη ευαγγελου ελενη-ηλεκτρα,2002-12-31,2004-02-11,πανελληνιο σοσιαλιστικο κινημα,α' αθηνων
μαγκουφης ευθυμιου χρηστος,1993-10-10,1996-08-24,πανελληνιο σοσιαλιστικο κινημα,τρικαλων
μαγκουφης ευθυμιου χρηστος,2000-04-09,2004-02-11,πανελληνιο σοσιαλιστικο κινημα,τρικαλων
μαγκουφης ευθυμιου χρηστος,2012-02-12,2012-04-11,ανεξαρτητοι (εκτος κομματος),τρικαλων
μαγκουφης ευθυμιου χρηστος,2009-10-04,2012-02-11,πανελληνιο σοσιαλιστικο κινημα,τρικαλων
μαγκριωτης αστεριου ιωαννης,1995-04-06,1996-08-24,πανελληνιο σοσιαλιστικο κινημα,επικρατειας
μαγκριωτης αστεριου ιωαννης,1996-09-22,2000-03-14,πανελληνιο σοσιαλιστικο κινημα,α' θεσσαλονικης
μαγκριωτης αστεριου ιωαννης,2000-04-09,2004-02-11,πανελληνιο σοσιαλιστικο κινημα,α' θεσσαλονικης
μαγκριωτης αστεριου ιωαννης,2004-03-07,2007-08-18,πανελληνιο σοσιαλιστικο κινημα,α' θεσσαλονικης
μαγκριωτης αστεριου ιωαννης,2007-09-16,2009-09-07,πανελληνιο σοσιαλιστικο κινημα,α' θεσσαλονικης
μαγκριωτης αστεριου ιωαννης,2009-10-04,2012-04-11,πανελληνιο σοσιαλιστικο κινημα,α' θεσσαλονικης
μακαρονας γεωργιου γρηγοριος,2015-07-07,2015-08-28,ανεξαρτητοι ελληνες εθνικη πατριωτικη δημοκρατικη συμμαχια,ηρακλειου
μακρη-θεοδωρου ευαγγελου ελενη,2012-06-17,2014-12-31,νεα δημοκρατια,φθιωτιδας
μακρη-θεοδωρου ευαγγελου ελενη,2023-01-11,2023-04-22,νεα δημοκρατια,φθιωτιδας
