member_name,member_start_date,member_end_date,political_party,administrative_region,gender
αγαπηδακη στυλιανου ειρηνη,2023-05-21,2023-05-29,νεα δημοκρατια,επικρατειας,female
αγαπηδακη στυλιανου ειρηνη,2023-06-25,2023-11-13,νεα δημοκρατια,επικρατειας,female
αποστολακης στεφανου γεωργιος,2023-06-25,2023-11-13,δημοκρατικο πατριωτικο κινημα νικη,επικρατειας,male
νταβρης χαραλαμπους γεωργιος,2012-05-06,2012-05-19,ανεξαρτητοι ελληνες - πανος καμμενος,αχαιας,male
νταβρης χαραλαμπους γεωργιος,2014-01-22,2014-12-31,ανεξαρτητοι δημοκρατικοι βουλευτες,αχαιας,male
νταβρης χαραλαμπους γεωργιος,2014-01-13,2014-01-21,ανεξαρτητοι (εκτος κομματος),αχαιας,male
νταβρης χαραλαμπους γεωργιος,2012-06-17,2014-01-12,ανεξαρτητοι ελληνες - πανος καμμενος,αχαιας,male
νταλαρα γεωργιου αννα,2009-10-04,2012-04-11,πανελληνιο σοσιαλιστικο κινημα,β' αθηνων,female
ντεντιδακης εμμανουηλ αντωνιος,1989-01-01,1989-06-02,πανελληνιο σοσιαλιστικο κινημα,α' πειραιως,male
ντεντιδακης εμμανουηλ αντωνιος,1989-11-05,1990-03-12,πανελληνιο σοσιαλιστικο κινημα,α' πειραιως,male
ντεντιδακης εμμανουηλ αντωνιος,1990-04-08,1993-09-11,πανελληνιο σοσιαλιστικο κινημα,α' πειραιως,male
ντεντιδακης εμμανουηλ αντωνιος,1993-10-10,1996-08-24,πανελληνιο σοσιαλιστικο κινημα,α' πειραιως,male
ντζιμανης δημητριου γεωργιος,2015-09-20,2019-06-11,συνασπισμος ριζοσπαστικης αριστερας,κοζανης,male
ντινοπουλος βασιλειου αργυρης,2007-09-16,2009-09-07,νεα δημοκρατια,β' αθηνων,male
ντινοπουλος βασιλειου αργυρης,2009-10-04,2012-04-11,νεα δημοκρατια,β' αθηνων,male
ντινοπουλος βασιλειου αργυρης,2012-05-06,2012-05-19,νεα δημοκρατια,β' αθηνων,male
ντινοπουλος βασιλειου αργυρης,2012-06-17,2014-12-31,νεα δημοκρατια,β' αθηνων,male
ντολιος πασχαλη γεωργιος,2004-03-07,2007-08-18,πανελληνιο σοσιαλιστικο κινημα,εβρου,male
ντολιος πασχαλη γεωργιος,2007-09-16,2009-09-07,πανελληνιο σοσιαλιστικο κινημα,εβρου,male
ντολιος πασχαλη γεωργιος,2009-10-04,2012-04-11,πανελληνιο σοσιαλιστικο κινημα,εβρου,male
ντολιος πασχαλη γεωργιος,2012-05-06,2012-05-19,πανελληνιο σοσιαλιστικο κινημα,εβρου,male
ντολιος πασχαλη γεωργιος,2012-06-17,2014-12-31,πανελληνιο σοσιαλιστικο κινημα,εβρου,male
ντουκακης ιωαννη μανουσος,2012-02-20,2012-04-11,λαικος ορθοδοξος συναγερμος,β' αθηνων,male
νυφουδης σταυρου νικολαος,2019-05-07,2019-06-11,το ποταμι,β' θεσσαλονικης,male
νυφουδης σταυρου νικολαος,2019-05-06,2019-05-06,ανεξαρτητοι (εκτος κομματος),β' θεσσαλονικης,male
ξανθοπουλος σαββα θεοφιλος,2019-07-07,2023-04-22,συνασπισμος ριζοσπαστικης αριστερας,δραμας,male
ξανθοπουλος σαββα θεοφιλος,2023-05-21,2023-05-29,συνασπισμος ριζοσπαστικης αριστερας - προοδευτικη συμμαχια,δραμας,male
ξανθοπουλος σαββα θεοφιλος,2023-06-25,2023-11-13,συνασπισμος ριζοσπαστικης αριστερας - προοδευτικη συμμαχια,δραμας,male
ξανθος γεωργιου ανδρεας,2012-05-06,2012-05-19,συνασπισμος ριζοσπαστικης αριστερας,ρεθυμνης,male
ξανθος γεωργιου ανδρεας,2012-06-17,2014-12-31,συνασπισμος ριζοσπαστικης αριστερας,ρεθυμνης,male
ξανθος γεωργιου ανδρεας,2015-01-25,2015-08-28,συνασπισμος ριζοσπαστικης αριστερας,ρεθυμνης,male
ξανθος γεωργιου ανδρεας,2015-09-20,2019-06-11,συνασπισμος ριζοσπαστικης αριστερας,ρεθυμνης,male
ξανθος γεωργιου ανδρεας,2019-07-07,2023-04-22,συνασπισμος ριζοσπαστικης αριστερας,ρεθυμνης,male
αποστολακος γεωργιου γρηγοριος,2007-09-16,2009-09-07,νεα δημοκρατια,λακωνιας,male
αποστολακος γεωργιου γρηγοριος,2009-10-04,2012-04-11,νεα δημοκρατια,λακωνιας,male
ξενογιαννακοπουλου διονυσιου μαρια ελιζα (μαριλιζα),2007-09-16,2009-09-07,πανελληνιο σοσιαλιστικο κινημα,β' αθηνων,female
ξενογιαννακοπουλου διονυσιου μαρια ελιζα (μαριλιζα),2012-02-12,2012-04-11,ανεξαρτητοι (εκτος κομματος),β' αθηνων,female
ξενογιαννακοπουλου διονυσιου μαρια ελιζα (μαριλιζα),2009-10-04,2012-02-11,πανελληνιο σοσιαλιστικο κινημα,β' αθηνων,female
ξενογιαννακοπουλου διονυσιου μαρια ελιζα (μαριλιζα),2019-07-07,2023-04-22,συνασπισμος ριζοσπαστικης αριστερας,β1' βορειου τομεα αθηνων,female
ξενογιαννακοπουλου διονυσιου μαρια ελιζα (μαριλιζα),2023-05-21,2023-05-29,συνασπισμος ριζοσπαστικης αριστερας - προοδευτικη συμμαχια,β1' βορειου τομεα αθηνων,female
ξηροτυρη-αικατεριναρη γεωργιου ασημινα,2000-04-09,2004-02-11,συνασπισμος της αριστερας των κινηματων και της οικολογιας,α' θεσσαλονικης,female
ξηροτυρη-αικατεριναρη γεωργιου ασημινα,2004-03-07,2007-08-18,συνασπισμος ριζοσπαστικης αριστερας,α' θεσσαλονικης,female
ξηροτυρη-αικατεριναρη γεωργιου ασημινα,2012-05-06,2012-05-19,δημοκρατικη αριστερα,α' θεσσαλονικης,female
ξηροτυρη-αικατεριναρη γεωργιου ασημινα,2012-06-17,2014-12-31,δημοκρατικη αριστερα,α' θεσσαλονικης,female
ξουλιδου ιωαννη σταυρουλα,2012-05-06,2012-05-19,ανεξαρτητοι ελληνες - πανος καμμενος,β' θεσσαλονικης,female
ξουλιδου ιωαννη σταυρουλα,2012-06-17,2014-12-31,ανεξαρτητοι ελληνες - πανος καμμενος,β' θεσσαλονικης,female
ξουλιδου ιωαννη σταυρουλα,2015-01-25,2015-08-28,ανεξαρτητοι ελληνες εθνικη πατριωτικη δημοκρατικη συμμαχια,β' θεσσαλονικης,female
