member_name,role,role_start_date,role_end_date,gender,name
αβδελας κωνσταντινου αποστολος,ζ αντιπροεδρος βουλης,18/07/2019,28/07/2020,male,apostolos_abdelas
μαυρωτας παρασκευα γεωργιος,ζ αντιπροεδρος βουλης,06/05/2019,07/07/2019,male,georgios_maurotas
μειμαρακης ιωαννη ευαγγελος-βασιλειος,αρχηγος κομματος:προεδρος νεας δημοκρατιας,05/07/2015,23/11/2015,male,euaggelos-basileios_meimarakis
μειμαρακης ιωαννη ευαγγελος-βασιλειος,ιε προεδρος βουλης,29/06/2012,06/02/2015,male,euaggelos-basileios_meimarakis
μειμαρακης ιωαννη ευαγγελος-βασιλειος,αρχηγος αξιωματικης αντιπολιτευσης,05/07/2015,23/11/2015,male,euaggelos-basileios_meimarakis
μητροπουλος παναγιωτη αλεξιος,α αντιπροεδρος βουλης,06/02/2015,04/10/2015,male,alexios_mitropoulos
μητσοτακης κυριακου κωνσταντινος,πρωθυπουργος,11/04/1990,13/10/1993,male,konstantinos_mitsotakis
μητσοτακης κυριακου κωνσταντινος,αρχηγος αξιωματικης αντιπολιτευσης,13/10/1993,03/11/1993,male,konstantinos_mitsotakis
μητσοτακης κυριακου κωνσταντινος,αρχηγος αξιωματικης αντιπολιτευσης,01/09/1984,12/10/1989,male,konstantinos_mitsotakis
μητσοτακης κυριακου κωνσταντινος,αρχηγος κομματος:προεδρος νεας δημοκρατιας,01/09/1984,03/11/1993,male,konstantinos_mitsotakis
μητσοτακης κωνσταντινου κυριακος,αρχηγος κομματος:προεδρος νεας δημοκρατιας,10/01/2016,28/07/2020,male,kuriakos_mitsotakis
μητσοτακης κωνσταντινου κυριακος,αρχηγος αξιωματικης αντιπολιτευσης,10/01/2016,08/07/2019,male,kuriakos_mitsotakis
μητσοτακης κωνσταντινου κυριακος,πρωθυπουργος,08/07/2019,28/07/2020,male,kuriakos_mitsotakis
μιχαλολιακος γεωργιου νικολαος,αρχηγος κομματος:γενικος γραμματεας χρυσης αυγης,01/12/1980,28/07/2020,male,nikolaos_mixaloliakos
μπαλαφας περικλη ιωαννης,β αντιπροεδρος βουλης,06/02/2015,04/10/2015,male,ioannis_mpalafas
μπενακη-ψαρουδα ευαγγελου αννα,ια προεδρος βουλης,19/03/2004,27/09/2007,female,anna_mpenaki-psarouda
μπενακη-ψαρουδα ευαγγελου αννα,δ αντιπροεδρος βουλης,21/04/2000,19/03/2004,female,anna_mpenaki-psarouda
αποστολατος σπυριδωνα βαιτσης,ζ αντιπροεδρος,10/10/2008,14/10/2009,male,baitsis_apostolatos
