member_name,role,role_start_date,role_end_date,gender,name
αγγελικη γκερεκου,υφυπουργος πολιτισμου και τουρισμου,07/10/2009,21/05/2010,female,aggeliki_gkerekou
αγγελικη γκερεκου,υφυπουργος πολιτισμου και αθλητισμου,10/06/2014,27/01/2015,female,aggeliki_gkerekou
αγγελικη λαιου,υφυπουργος εξωτερικων,13/04/2000,20/11/2000,female,aggeliki_laiou
αγγελικη-ευφροσυνη κιαου-δημακου,υπουργος παιδειας δια βιου μαθησης και θρησκευματων,17/05/2012,21/06/2012,female,aggeliki-eufrosuni_kiaou-dimakou
αγγελικη-ευφροσυνη κιαου-δημακου,υπουργος πολιτισμου παιδειας και θρησκευματων,28/08/2015,21/09/2015,female,aggeliki-eufrosuni_kiaou-dimakou
αγγελος μπρατακος,υφυπουργος εσωτερικων,03/12/1992,13/10/1993,male,aggelos_mpratakos
αγγελος τολκας,υφυπουργος στον πρωθυπουργο,03/08/2011,11/11/2011,male,aggelos_tolkas
αγγελος τολκας,υφυπουργος μεταναστευτικης πολιτικης,15/02/2019,09/07/2019,male,aggelos_tolkas
αδαμ ρεγκουζας,υφυπουργος οικονομιας και οικονομικων,10/03/2004,10/10/2005,male,adam_regkouzas
αθανασια αναγνωστοπουλου,αναπληρωτης υπουργος εξωτερικων,18/07/2015,27/08/2015,female,athanasia_anagnostopoulou
αθανασια αναγνωστοπουλου,αναπληρωτης υπουργος παιδειας ερευνας και θρησκευματων,23/09/2015,05/11/2016,female,athanasia_anagnostopoulou
αθανασια αναγνωστοπουλου,αναπληρωτης υπουργος εξωτερικων,15/02/2019,09/07/2019,female,athanasia_anagnostopoulou
αθανασιος αλευρας,υφυπουργος περιβαλλοντος χωροταξιας και δημοσιων εργων,13/04/2000,24/10/2001,male,athanasios_aleuras
αθανασιος αλευρας,υφυπουργος πολιτισμου,24/10/2001,10/03/2004,male,athanasios_aleuras
αθανασιος γιαννοπουλος,υφυπουργος υγειας και κοινωνικης αλληλεγγυης,10/03/2004,19/09/2007,male,athanasios_giannopoulos
αθανασιος δαβακης,υφυπουργος εθνικης αμυνας,25/06/2013,10/06/2014,male,athanasios_dabakis
αθανασιος ηλιοπουλος,υφυπουργος εργασιας κοινωνικης ασφαλισης και κοινωνικης αλληλεγγυης,28/02/2018,15/02/2019,male,athanasios_iliopoulos
αθανασιος θεοχαροπουλος,υπουργος τουρισμου,04/05/2019,09/07/2019,male,athanasios_theoxaropoulos
αθανασιος κανελλοπουλος,υπουργος προεδριας της κυβερνησης,02/07/1989,12/10/1989,male,athanasios_kanellopoulos
αθανασιος κανελλοπουλος,υπουργος επικρατειας,08/08/1991,21/02/1992,male,athanasios_kanellopoulos
αθανασιος κανελλοπουλος,αντιπροεδρος της κυβερνησης,08/08/1991,08/08/1991,male,athanasios_kanellopoulos
αθανασιος κανελλοπουλος,υπουργος δικαιοσυνης,11/04/1990,08/08/1991,male,athanasios_kanellopoulos
αθανασιος μικρουτσικος,αναπληρωτης υπουργος πολιτισμου,13/10/1993,16/03/1994,male,athanasios_mikroutsikos
αθανασιος μικρουτσικος,υπουργος πολιτισμου,16/03/1994,22/01/1996,male,athanasios_mikroutsikos
αθανασιος μπουρας,υφυπουργος οικονομιας και οικονομικων,08/01/2009,07/10/2009,male,athanasios_mpouras
αθανασιος μωραιτης,υφυπουργος αναπτυξης ανταγωνιστικοτητας και ναυτιλιας,27/06/2011,11/11/2011,male,athanasios_moraitis
αθανασιος μωραιτης,υφυπουργος περιβαλλοντος ενεργειας και κλιματικης αλλαγης,07/10/2009,17/06/2011,male,athanasios_moraitis
αθανασιος μωραιτης,υφυπουργος αναπτυξης ανταγωνιστικοτητας και ναυτιλιας,11/11/2011,17/05/2012,male,athanasios_moraitis
